robot_x,robot_y,robot_th,m1_id,m1_x,m1_y,m1_z,m1_qx,m1_qy,m1_qz,m1_qw,m2_id,m2_x,m2_y,m2_z,m2_qx,m2_qy,m2_qz,m2_qw
0.7325,0.024,0.0,1,-0.19456403511220774,-0.11997018760901207,0.6743058658135441,0.5402642286252864,0.7848969453831273,0.2649415500216318,0.147842224916616,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7325,0.024,0.0,1,-0.19697318698092756,-0.12111705717537229,0.6811142417047328,0.5637190966742723,0.8254612293969686,0.02769618920923184,0.008213398229345097,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7314790880940174,0.04221469242755856,-0.1119804647833622,1,-0.18035156997598686,-0.09521443551075154,0.6741782730669891,0.5877936624279568,0.7630682305827218,0.22566726898995107,0.1459444058246174,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7314790880940174,0.04221469242755856,-0.1119804647833622,1,-0.18035156997598686,-0.09521443551075154,0.6741782730669891,0.5877936624279568,0.7630682305827218,0.22566726898995107,0.1459444058246174,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7302173483492306,0.05118333937528799,-0.16755181763096588,1,-0.17359420032871972,-0.08354765680843672,0.6791036708266315,0.6036305899090043,0.7603047111793169,0.21363695064850363,0.10920673240351159,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7302173483492306,0.05118333937528799,-0.16755181763096588,1,-0.17359420032871972,-0.08354765680843672,0.6791036708266315,0.6036305899090043,0.7603047111793169,0.21363695064850363,0.10920673240351159,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7302173483492306,0.05118333937528799,-0.16755181763096588,1,-0.17359420032871972,-0.08354765680843672,0.6791036708266315,0.6036305899090043,0.7603047111793169,0.21363695064850363,0.10920673240351159,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7277676932525543,0.06299150256806432,-0.2415538704179758,1,-0.16277987343603043,-0.06893736108043524,0.6805014496312555,0.6495233806489571,0.7594607889472592,0.036581566405701184,-0.000690681736950258,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7253443489064479,0.07176545732980395,-0.2974044762949644,1,-0.15350964036494438,-0.05799670177674502,0.6843113064460534,0.6657462623818087,0.7449678631032968,0.042384615923095004,-0.0028881483707348904,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7253443489064479,0.07176545732980395,-0.2974044762949644,1,-0.15350964036494438,-0.05799670177674502,0.6843113064460534,0.6657462623818087,0.7449678631032968,0.042384615923095004,-0.0028881483707348904,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7253443489064479,0.07176545732980395,-0.2974044762949644,1,-0.15350964036494438,-0.05799670177674502,0.6843113064460534,0.6657462623818087,0.7449678631032968,0.042384615923095004,-0.0028881483707348904,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7224507484064564,0.0803477467331648,-0.35297582914256814,1,-0.14263119081256806,-0.0478359329152536,0.680858602366308,0.6877762979867034,0.7049745338523473,0.1465463186320098,0.09218919157241912,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7224507484064564,0.0803477467331648,-0.35297582914256814,1,-0.14263119081256806,-0.0478359329152536,0.680858602366308,0.6877762979867034,0.7049745338523473,0.1465463186320098,0.09218919157241912,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7224507484064564,0.0803477467331648,-0.35297582914256814,1,-0.143690761034399,-0.048349216822113156,0.6849194031173335,0.688179621953138,0.7199035735761248,0.08952048545625517,-0.01156440073837348,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7190849307325313,0.08875606919620607,-0.4085471819901718,1,-0.13231234470389183,-0.03815870197404678,0.6784534691821608,0.711285061644927,0.7022223587931148,0.030419442125336708,-0.005654859201574027,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7190849307325313,0.08875606919620607,-0.4085471819901718,1,-0.13231234470389183,-0.03815870197404678,0.6784534691821608,0.711285061644927,0.7022223587931148,0.030419442125336708,-0.005654859201574027,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7190849307325313,0.08875606919620607,-0.4085471819901718,1,-0.1319808311823693,-0.03818953646375049,0.6779265023802818,0.7113206449954629,0.7027579578905084,-0.012287715678745467,-0.0017901587078547696,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7138032429304477,0.09979956516864863,-0.4836662468947215,1,-0.11836628790722577,-0.026944063506692376,0.684001005347034,0.7405690296169952,0.6702772930857496,0.02654342500037374,0.03976568036676551,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7138244045618259,0.09975926509592348,-0.48338699386533657,1,-0.11836628790722577,-0.026944063506692376,0.684001005347034,0.7405690296169952,0.6702772930857496,0.02654342500037374,0.03976568036676551,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7138244045618259,0.09975926509592348,-0.48338699386533657,1,-0.11836628790722577,-0.026944063506692376,0.684001005347034,0.7405690296169952,0.6702772930857496,0.02654342500037374,0.03976568036676551,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7045821286286078,0.11522400191377413,-0.5939711935017741,1,-0.09382738625382003,-0.01113993214323597,0.6801840601109954,0.7761185301734893,0.6258261060919924,-0.0070321693098833,0.07702117014090397,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7045821286286078,0.11522400191377413,-0.5939711935017741,1,-0.09382738625382003,-0.01113993214323597,0.6801840601109954,0.7761185301734893,0.6258261060919924,-0.0070321693098833,0.07702117014090397,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7045821286286078,0.11522400191377413,-0.5939711935017741,1,-0.09382738625382003,-0.01113993214323597,0.6801840601109954,0.7761185301734893,0.6258261060919924,-0.0070321693098833,0.07702117014090397,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7045821286286078,0.11522400191377413,-0.5939711935017741,1,-0.09352681577590483,-0.010599993888983627,0.6776199862550283,0.7697318512498736,0.6358067276158801,0.04596790669609126,-0.03390625080730289,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.697439619640052,0.12499729563883796,-0.6682524993181689,1,-0.07677976323327945,-0.0023796634953268453,0.677612893379466,0.7992265144322274,0.5992049647225041,-0.036975513458116775,0.028691467109994796,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6821383926703505,0.14182017016046078,-0.8078790140106404,1,-0.04370734800475173,0.010858208310475334,0.6752270262517912,0.8362019561583571,0.5432559343553975,-0.054277139089860725,-0.05189672896051157,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6821383926703505,0.14182017016046078,-0.8078790140106404,1,-0.04370734800475173,0.010858208310475334,0.6752270262517912,0.8362019561583571,0.5432559343553975,-0.054277139089860725,-0.05189672896051157,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6821383926703505,0.14182017016046078,-0.8078790140106404,1,-0.044419569599496556,0.010672878930661817,0.682909431144236,0.8352416978483708,0.5486031117712492,-0.031623453934142676,-0.020146689344607626,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6821383926703505,0.14182017016046078,-0.8078790140106404,1,-0.044419569599496556,0.010672878930661817,0.682909431144236,0.8352416978483708,0.5486031117712492,-0.031623453934142676,-0.020146689344607626,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6645073926703505,0.14182017016046078,-0.8078790140106404,1,-0.030264081126232956,0.02432517371381871,0.6835996067759429,0.8343884416907147,0.5496340676122936,0.02813617013999466,-0.030111061468482827,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6501043926703505,0.14182017016046078,-0.8078790140106404,1,-0.019065197648877156,0.03431200066013126,0.6795019751162489,0.8306631896459139,0.5525993548413324,0.06586486535126972,-0.01715919311852012,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6397218926703505,0.14182017016046078,-0.8078790140106404,1,-0.011210691017995517,0.04215943931446866,0.6792729494215615,0.8310609781807621,0.5526238940328467,0.060326684693040665,-0.01746921300900936,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6397218926703505,0.14182017016046078,-0.8078790140106404,1,-0.011210691017995517,0.04215943931446866,0.6792729494215615,0.8310609781807621,0.5526238940328467,0.060326684693040665,-0.01746921300900936,N/A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
